Time	Tip Location
15:07:54	24346.823;9140.319;268.882
15:07:54	24346.823;9140.319;268.882
15:07:55	24346.838;9140.317;268.860
15:07:55	24346.838;9140.317;268.860
15:07:55	24346.837;9140.324;268.843
15:07:55	24346.837;9140.324;268.843
15:07:55	24346.837;9140.324;268.843
15:07:55	24346.837;9140.324;268.843
15:07:55	24346.842;9140.316;268.825
15:07:55	24346.842;9140.316;268.825
15:07:55	24346.842;9140.316;268.825
15:07:55	24346.842;9140.316;268.825
15:08:39	24348.323;6996.726;268.471
15:10:25	24347.860;6995.003;2701.577
15:11:51	24345.689;9142.170;2700.566
15:12:57	29187.582;6782.406;1118.188
15:13:32	29175.772;8621.592;1614.586
15:14:05	25390.165;10324.169;238.000
15:14:37	25388.962;6049.871;239.100
15:15:05	22592.193;5228.555;1025.037
15:15:25	20341.758;5231.457;1001.898
15:15:56	20341.702;4666.508;1001.814
15:15:59	20219.196;4677.605;980.887
15:16:30	22595.668;4676.230;1084.549
15:17:07	30615.464;15124.919;713.255
15:17:25	30718.074;11910.399;686.509
15:17:28	30246.552;11930.327;858.998
15:20:10	27897.707;9909.919;242.699
15:20:13	27897.697;9909.925;242.665
15:20:47	26601.187;9914.849;242.613
15:21:09	26596.963;9916.664;189.337
15:21:19	26645.833;9924.589;193.611
15:21:25	26645.907;9924.702;193.254
15:21:37	26645.906;9932.621;198.515
15:21:58	26637.135;9917.264;230.127
15:22:07	26606.303;9912.463;241.901
15:42:03	26651.960;9960.272;322.145
15:42:14	27867.924;9960.305;280.456
15:42:18	27837.815;9995.652;292.794
15:50:54	26625.761;9960.306;285.351
15:50:57	26889.166;9954.352;457.355
15:51:21	27858.369;9960.183;295.555
15:51:24	27957.725;9963.064;517.984
16:10:17	27595.197;14234.051;262.463
16:12:00	26730.647;11360.104;286.867
16:12:14	27874.224;11359.543;291.883
16:12:25	26656.571;12060.300;286.411
16:12:44	27828.143;12060.099;297.970
16:12:55	26764.343;12760.298;301.435
16:13:08	27727.636;12759.698;289.771
16:13:21	26803.607;13460.454;93.814
16:13:31	27471.539;13460.461;94.215
16:13:44	26746.450;14159.849;297.602
16:13:47	26936.428;14201.956;523.282
16:14:02	27698.941;14159.969;283.807
16:14:05	27631.699;14062.901;474.265
16:14:17	0.000;0.000;0.000
16:14:26	26637.580;14398.097;243.961
16:14:36	26646.901;14403.417;201.281
16:14:52	27854.082;14391.554;194.438
16:14:55	27862.152;14393.103;222.146
16:15:22	27868.210;14399.881;242.600
16:15:34	27904.171;14387.352;184.702
16:15:48	27875.308;14408.521;222.915
16:15:57	26618.099;14410.463;224.599
