Time	Tip Location
11:39:25	25379.713;6141.539;244.313
11:39:25	25379.713;6141.539;244.313
11:39:25	25379.713;6141.539;244.313
11:39:25	25379.713;6141.539;244.313
11:39:25	25379.719;6141.533;244.314
11:39:29	25348.370;6206.442;244.468
11:39:29	25348.377;6206.440;244.473
11:39:30	25348.391;6206.443;244.479
11:39:30	25348.391;6206.443;244.479
11:39:30	25348.395;6206.444;244.483
11:39:33	25344.918;6116.335;244.588
11:39:33	25344.918;6116.335;244.588
11:39:33	25344.934;6116.323;244.581
11:39:34	25344.933;6116.322;244.580
11:39:34	25344.933;6116.322;244.580
11:39:34	25344.933;6116.322;244.580
11:39:36	25380.712;6050.879;244.407
11:39:36	25380.721;6050.893;244.408
11:39:42	25388.979;5925.290;197.338
11:39:42	25388.979;5925.290;197.338
11:39:49	25389.299;5899.645;187.792
11:39:49	25389.299;5899.645;187.792
11:39:50	25389.237;5899.699;187.876
11:39:56	25339.157;5864.643;232.418
11:40:02	25339.174;5851.147;234.099
11:40:02	25339.233;5851.185;234.141
11:40:03	25339.379;5851.278;234.244
11:40:05	25339.418;5851.225;234.251
11:40:05	25339.420;5851.214;234.252
11:40:05	25339.517;5851.230;234.254
11:40:05	25339.517;5851.230;234.254
11:40:08	25339.494;5852.803;233.647
11:40:09	25339.490;5852.799;233.653
11:40:09	25339.488;5852.800;233.660
11:40:09	25339.485;5852.812;233.665
11:40:09	25339.485;5852.812;233.665
11:40:09	25339.485;5852.812;233.665
11:40:09	25339.485;5852.812;233.665
11:40:16	25339.518;5865.176;199.519
11:40:16	25339.515;5865.188;199.500
11:40:23	25339.988;6133.000;198.683
11:40:23	25339.980;6132.978;198.681
11:40:23	25339.980;6132.978;198.681
11:40:23	25339.980;6132.978;198.681
11:40:23	25339.975;6132.962;198.696
11:40:23	25339.975;6132.962;198.696
11:40:30	25340.373;6287.678;196.673
11:40:30	25340.373;6287.678;196.673
11:40:30	25340.382;6287.687;196.674
11:40:30	25340.382;6287.687;196.674
11:40:31	25340.382;6287.687;196.674
11:40:31	25340.382;6287.687;196.674
11:40:31	25340.393;6287.672;196.680
11:40:35	25379.777;5819.427;234.448
11:40:35	25379.777;5819.427;234.448
11:40:35	25379.777;5819.427;234.448
11:40:36	25379.793;5819.426;234.420
11:40:36	25379.793;5819.426;234.420
11:40:40	25349.839;5819.327;232.180
11:40:40	25349.839;5819.327;232.180
11:40:40	25349.839;5819.327;232.180
11:40:40	25349.889;5819.292;232.151
11:40:40	25349.949;5819.270;232.128
11:40:45	25351.552;5819.716;185.431
11:40:47	25383.931;5818.889;166.998
11:40:47	25383.931;5818.889;166.998
11:40:47	25383.931;5818.889;166.998
11:40:48	25383.932;5818.882;166.987
11:40:48	25383.932;5818.882;166.987
11:40:48	25383.927;5818.879;166.988
11:40:48	25383.927;5818.879;166.988
11:40:48	25383.927;5818.879;166.988
11:40:48	25383.927;5818.879;166.988
11:41:23	25350.261;5893.394;244.400
11:41:23	25350.261;5893.394;244.400
11:41:25	25350.237;5893.365;244.361
11:41:26	25350.237;5893.365;244.361
11:41:26	25350.234;5893.367;244.298
11:41:26	25350.234;5893.367;244.298
11:41:26	25350.198;5893.364;244.301
11:41:26	25350.198;5893.364;244.301
11:41:26	25350.198;5893.364;244.301
11:43:31	25348.060;10239.343;244.539
11:43:31	25348.049;10239.340;244.542
11:43:31	25348.049;10239.340;244.542
11:43:32	25348.044;10239.340;244.546
11:43:32	25348.068;10239.359;244.543
11:43:35	25379.317;10265.187;244.406
11:43:35	25379.317;10265.187;244.406
11:43:35	25379.317;10265.187;244.406
11:43:36	25379.317;10265.187;244.406
11:43:36	25379.319;10265.167;244.403
11:43:36	25379.319;10265.167;244.403
11:43:39	25381.774;10194.921;244.483
11:43:39	25381.818;10194.959;244.469
11:43:39	25381.818;10194.959;244.469
11:43:39	25381.818;10194.959;244.469
11:43:40	25381.862;10194.986;244.455
11:43:40	25381.862;10194.986;244.455
11:43:40	25381.862;10194.986;244.455
11:43:43	25390.889;10273.667;236.288
11:43:43	25390.889;10273.667;236.288
11:43:44	25390.889;10273.667;236.288
11:43:52	25340.273;10257.956;231.172
11:43:52	25340.273;10257.956;231.172
11:43:52	25340.273;10257.956;231.172
11:44:52	24118.236;10269.747;244.567
11:44:52	24118.257;10269.756;244.565
11:44:52	24118.257;10269.756;244.565
11:44:52	24118.257;10269.756;244.565
11:44:53	24118.251;10269.776;244.557
11:44:53	24118.251;10269.776;244.557
11:44:53	24118.251;10269.776;244.557
11:44:53	24118.244;10269.779;244.556
11:44:53	24118.244;10269.779;244.556
11:44:56	24091.076;10045.148;244.389
11:44:56	24091.092;10045.169;244.384
11:44:56	24091.092;10045.169;244.384
11:44:57	24091.092;10045.169;244.384
11:44:57	24091.091;10045.157;244.385
11:44:57	24091.106;10045.157;244.383
11:45:00	24119.743;10030.255;244.404
11:45:04	24095.947;10288.931;244.477
11:45:04	24095.947;10288.931;244.477
11:45:04	24095.981;10288.897;244.482
11:45:05	24095.968;10288.905;244.478
11:45:05	24095.968;10288.905;244.478
11:45:06	24095.968;10288.905;244.478
11:45:06	24095.939;10288.883;244.481
11:46:11	24092.754;5929.618;244.378
11:46:11	24092.754;5929.618;244.378
11:46:11	24092.754;5929.618;244.378
11:46:11	24092.754;5929.618;244.378
11:46:11	24092.747;5929.617;244.379
11:46:15	24124.601;5929.109;244.575
11:46:15	24124.602;5929.088;244.575
11:46:15	24124.602;5929.088;244.575
11:46:15	24124.602;5929.088;244.575
11:46:15	24124.591;5929.086;244.578
11:46:15	24124.591;5929.086;244.578
11:46:15	24124.591;5929.086;244.578
11:46:15	24124.601;5929.077;244.578
11:46:19	24122.724;6134.201;244.490
11:46:19	24122.724;6134.201;244.490
11:46:19	24122.724;6134.201;244.490
11:46:23	24092.891;6142.852;244.318
11:46:23	24092.891;6142.852;244.318
11:46:23	24092.891;6142.852;244.318
11:46:23	24092.878;6142.845;244.311
11:46:29	24098.223;5827.715;226.103
11:46:29	24098.223;5827.715;226.103
11:46:34	24093.892;5827.577;171.752
11:46:34	24093.892;5827.577;171.752
11:46:34	24093.889;5827.579;171.746
11:46:38	24131.007;5867.261;229.744
11:46:38	24131.007;5867.261;229.744
11:46:38	24131.007;5867.261;229.744
11:46:39	24131.007;5867.261;229.744
11:46:39	24131.000;5867.226;229.782
11:46:39	24131.000;5867.226;229.782
11:46:42	24130.957;5873.443;184.603
11:46:42	24130.938;5873.458;184.642
11:46:43	24130.938;5873.458;184.642
11:46:43	24130.938;5873.458;184.642
11:46:43	24130.929;5873.473;184.646
