Time	Tip Location
18:07:59	22830.368;8292.661;289.766
18:07:59	22830.368;8292.661;289.766
18:08:02	22846.149;8260.810;288.355
18:08:02	22846.149;8260.810;288.355
18:08:02	22846.149;8260.810;288.355
18:08:03	22846.109;8260.847;288.363
18:08:05	22850.009;8260.239;257.133
18:08:13	22850.870;8359.595;283.950
18:08:18	22847.095;8359.341;256.855
18:08:20	22864.200;8345.268;294.652
18:08:20	22864.190;8345.266;294.642
18:08:20	22864.190;8345.266;294.642
18:08:23	22885.207;8308.052;294.679
18:08:25	22920.099;8270.398;294.924
18:08:25	22920.099;8270.398;294.924
18:08:33	24119.965;8309.837;294.758
18:08:36	24114.346;8348.237;294.555
18:08:40	24111.966;8273.652;295.102
18:08:40	24111.966;8273.652;295.102
18:08:45	24116.766;8260.752;285.549
18:08:45	24116.766;8260.752;285.549
18:08:51	24120.431;8360.031;280.798
18:08:51	24120.404;8360.023;280.841
18:08:55	24081.274;8359.820;255.877
18:08:55	24081.274;8359.820;255.877
18:08:55	24081.274;8359.820;255.877
18:09:02	24076.406;8260.298;260.877
18:09:07	24140.273;8331.018;264.754
18:09:17	23546.267;8260.217;258.446
18:09:25	23555.840;8359.446;282.419
18:09:25	23555.840;8359.446;282.419
18:09:37	23565.899;8359.453;257.926
18:09:47	23643.968;8260.245;253.573
18:09:47	23643.967;8260.228;253.563
18:09:47	23643.967;8260.228;253.563
18:09:58	22212.018;8311.310;287.010
18:09:58	22212.018;8311.310;287.010
18:09:58	22212.018;8311.310;287.010
18:10:09	22177.000;8349.797;294.804
18:11:13	22175.175;8310.040;295.050
18:11:14	22175.181;8310.041;295.045
18:12:48	22211.918;8310.738;280.041
18:12:48	22211.918;8310.738;280.041
18:12:49	22211.903;8310.702;280.040
18:12:53	22194.946;8317.992;295.087
18:12:53	22194.941;8317.990;295.079
18:12:56	22165.797;8351.416;294.984
18:13:00	22165.013;8273.939;295.075
18:13:05	22179.360;8260.294;287.157
18:13:10	22152.694;8260.411;255.878
18:13:13	22122.347;8360.524;255.713
18:13:16	22118.360;8360.469;281.940
18:13:16	22118.360;8360.469;281.940
18:13:23	21591.270;8311.595;295.214
18:13:27	21629.517;8360.273;284.538
18:13:30	21550.457;8360.364;253.392
18:13:30	21550.444;8360.372;253.378
18:13:30	21550.444;8360.372;253.378
18:13:30	21550.444;8360.372;253.378
18:13:30	21550.444;8360.372;253.378
18:13:35	21608.628;8260.343;288.655
18:13:37	21568.127;8260.252;254.752
18:13:43	20340.415;8310.579;294.860
18:13:47	20309.449;8260.538;283.133
18:13:50	20365.684;8260.457;258.432
18:13:54	20421.504;8309.996;294.831
18:14:12	20397.607;8360.368;284.815
18:14:23	20365.202;8360.163;255.680
18:14:55	19080.059;8310.486;294.976
18:14:55	19080.059;8310.486;294.976
18:14:57	19080.053;8310.547;294.976
18:14:57	19080.053;8310.547;294.976
18:15:01	18994.500;8313.437;294.760
18:15:15	19066.200;8260.296;260.550
18:15:18	19078.111;8260.456;289.358
18:15:22	19023.199;8360.182;281.629
18:15:22	19023.199;8360.182;281.629
18:15:23	19023.200;8360.179;281.639
18:15:44	19135.290;8360.355;254.799
18:15:59	18908.267;8311.265;294.348
