2022-02-03 13:11:07,677 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:08,014 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:08,324 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:08,636 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:08,958 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:09,318 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:09,646 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:10,032 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:10,368 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:10,725 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:11,053 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:11,381 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:11,709 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:11,990 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:12,396 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:12,694 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:13,062 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:13,453 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:13,827 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:14,171 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:14,547 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:14,906 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:15,234 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:15,518 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:15,855 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:16,168 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:16,511 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:16,870 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:17,183 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
2022-02-03 13:11:17,527 | itj_planning | ERROR | End State FK consistency: True | Given robot's FK agrees with the given robot_frame.
