2022-02-02 00:39:18,401 | itj_planning | INFO | planning.run.py started with args: Namespace(buffers_for_free_motions=False, debug=False, design_dir='210419_HyparHut', diagnosis=False, draw_mp_exploration=False, load_external_movements=True, low_res=False, movement_id=None, mp_algorithm='birrt', problem='Shelter_process.json', problem_subdir='.', quiet=False, reachable_range=[0.2, 2.4], reinit_tool=True, rrt_iterations=400, seq_n=None, smooth=True, solve_mode='nonlinear', solve_timeout=3600.0, step_sim=False, viewer=False, watch=False, write=True)
2022-02-02 00:39:20,102 | itj_planning | INFO | [34mProcess json parsed from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\Shelter_process.json[0m
2022-02-02 00:39:20,106 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results
2022-02-02 00:39:22,578 | itj_planning | INFO | Tool TC4_Camera (tool_changer) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\TC4_Camera\urdf\TC4_Camera.urdf
2022-02-02 00:39:22,655 | itj_planning | INFO | Tool CL3 (c1) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c1\urdf\c1.urdf
2022-02-02 00:39:22,749 | itj_planning | INFO | Tool CL3 (c2) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c2\urdf\c2.urdf
2022-02-02 00:39:22,843 | itj_planning | INFO | Tool CL3M (c3) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c3\urdf\c3.urdf
2022-02-02 00:39:22,937 | itj_planning | INFO | Tool CL3M (c4) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c4\urdf\c4.urdf
2022-02-02 00:39:23,016 | itj_planning | INFO | Tool SL1 (s1) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s1\urdf\s1.urdf
2022-02-02 00:39:23,088 | itj_planning | INFO | Tool SL1 (s2) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s2\urdf\s2.urdf
2022-02-02 00:39:23,158 | itj_planning | INFO | Tool SL1 (s3) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s3\urdf\s3.urdf
2022-02-02 00:39:23,232 | itj_planning | INFO | Tool SL1_G200 (s4) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s4\urdf\s4.urdf
2022-02-02 00:39:23,318 | itj_planning | INFO | Tool PG500 (g1) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\g1\urdf\g1.urdf
2022-02-02 00:39:23,417 | itj_planning | INFO | Tool PG1000 (g2) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\g2\urdf\g2.urdf
2022-02-02 00:39:23,526 | itj_planning | INFO | Tool PG1500 (g3) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\g3\urdf\g3.urdf
2022-02-02 00:39:23,638 | itj_planning | INFO | [36mSolving for beam ['b0', 'b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'b7', 'b8', 'b9', 'b10', 'b11', 'b12', 'b13', 'b14', 'b15', 'b16', 'b17', 'b18', 'b19', 'b20', 'b21', 'b22', 'b23', 'b24', 'b25', 'b26', 'b27', 'b28', 'b29', 'b30', 'b31', 'b32', 'b33', 'b34', 'b35', 'b36', 'b37', 'b38', 'b39', 'b40', 'b41', 'b42', 'b43', 'b44', 'b45', 'b46', 'b47', 'b48', 'b49', 'b50', 'b51', 'b52', 'b53', 'b54', 'b55', 'b56'][0m
2022-02-02 00:39:23,638 | itj_planning | INFO | --------------------
2022-02-02 00:39:23,638 | itj_planning | INFO | ##########
2022-02-02 00:39:23,639 | itj_planning | INFO | Beam b0 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:39:27,349 | itj_planning | INFO | FreeMovement: Robot start conf is NOT specified in RoboticFreeMovement(#A1_M0, Free Move reach Storage Approach Frame of PG1000 ('g2'), to get tool., traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 00:40:11,868 | itj_planning | INFO | ---
2022-02-02 00:40:11,868 | itj_planning | INFO | [32m#28 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:40:20,096 | itj_planning | INFO | ---
2022-02-02 00:40:20,096 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:41:57,114 | itj_planning | INFO | ---
2022-02-02 00:41:57,115 | itj_planning | INFO | [32m#4 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 00:42:05,370 | itj_planning | INFO | ---
2022-02-02 00:42:05,370 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:42:05,370 | itj_planning | INFO | A plan has been found for (seq_n=0) beam id b0!
2022-02-02 00:42:05,371 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 00:42:05,371 | itj_planning | INFO | --------------------
2022-02-02 00:42:05,372 | itj_planning | INFO | ##########
2022-02-02 00:42:05,372 | itj_planning | INFO | Beam b1 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:42:23,530 | itj_planning | INFO | ---
2022-02-02 00:42:23,531 | itj_planning | INFO | [32m#28 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:42:31,308 | itj_planning | INFO | ---
2022-02-02 00:42:31,309 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:44:12,360 | itj_planning | INFO | ---
2022-02-02 00:44:12,361 | itj_planning | INFO | [32m#4 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 00:44:20,342 | itj_planning | INFO | ---
2022-02-02 00:44:20,343 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:44:20,343 | itj_planning | INFO | A plan has been found for (seq_n=1) beam id b1!
2022-02-02 00:44:20,343 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 00:44:20,344 | itj_planning | INFO | --------------------
2022-02-02 00:44:20,344 | itj_planning | INFO | ##########
2022-02-02 00:44:20,344 | itj_planning | INFO | Beam b2 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:44:42,492 | itj_planning | INFO | ---
2022-02-02 00:44:42,493 | itj_planning | INFO | [32m#27 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:44:50,114 | itj_planning | INFO | ---
2022-02-02 00:44:50,114 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:45:55,369 | itj_planning | INFO | ---
2022-02-02 00:45:55,369 | itj_planning | INFO | [32m#4 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 00:46:03,088 | itj_planning | INFO | ---
2022-02-02 00:46:03,088 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:46:03,088 | itj_planning | INFO | A plan has been found for (seq_n=2) beam id b2!
2022-02-02 00:46:03,089 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 00:46:03,089 | itj_planning | INFO | --------------------
2022-02-02 00:46:03,089 | itj_planning | INFO | ##########
2022-02-02 00:46:03,090 | itj_planning | INFO | Beam b3 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:46:16,151 | itj_planning | INFO | FreeMovement: Robot end conf is NOT specified in RoboticFreeMovement(#A19_M1, Free Move to reorient Beam ('b3'), traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 00:46:34,374 | itj_planning | INFO | ---
2022-02-02 00:46:34,374 | itj_planning | INFO | [32m#31 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:46:42,294 | itj_planning | INFO | ---
2022-02-02 00:46:42,294 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:49:10,855 | itj_planning | INFO | ---
2022-02-02 00:49:10,856 | itj_planning | INFO | [32m#5 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 00:49:18,514 | itj_planning | INFO | ---
2022-02-02 00:49:18,515 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:49:18,515 | itj_planning | INFO | A plan has been found for (seq_n=3) beam id b3!
2022-02-02 00:49:18,516 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 00:49:18,516 | itj_planning | INFO | --------------------
2022-02-02 00:49:18,516 | itj_planning | INFO | ##########
2022-02-02 00:49:18,516 | itj_planning | INFO | Beam b4 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:49:28,696 | itj_planning | INFO | FreeMovement: Robot end conf is NOT specified in RoboticFreeMovement(#A27_M1, Free Move to reorient Beam ('b4'), traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 00:50:08,376 | itj_planning | INFO | ---
2022-02-02 00:50:08,377 | itj_planning | INFO | [32m#31 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:50:16,707 | itj_planning | INFO | ---
2022-02-02 00:50:16,707 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:51:46,445 | itj_planning | INFO | ---
2022-02-02 00:51:46,446 | itj_planning | INFO | [32m#5 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 00:51:54,637 | itj_planning | INFO | ---
2022-02-02 00:51:54,637 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:51:54,637 | itj_planning | INFO | A plan has been found for (seq_n=4) beam id b4!
2022-02-02 00:51:54,638 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 00:51:54,638 | itj_planning | INFO | --------------------
2022-02-02 00:51:54,638 | itj_planning | INFO | ##########
2022-02-02 00:51:54,639 | itj_planning | INFO | Beam b5 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:52:07,805 | itj_planning | INFO | FreeMovement: Robot end conf is NOT specified in RoboticFreeMovement(#A35_M1, Free Move to reorient Beam ('b5'), traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 00:52:55,550 | itj_planning | INFO | ---
2022-02-02 00:52:55,551 | itj_planning | INFO | [32m#50 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:53:03,882 | itj_planning | INFO | ---
2022-02-02 00:53:03,883 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:56:32,851 | itj_planning | INFO | ---
2022-02-02 00:56:32,852 | itj_planning | INFO | [32m#7 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 00:56:41,244 | itj_planning | INFO | ---
2022-02-02 00:56:41,244 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 00:56:41,245 | itj_planning | INFO | A plan has been found for (seq_n=5) beam id b5!
2022-02-02 00:56:41,245 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 00:56:41,246 | itj_planning | INFO | --------------------
2022-02-02 00:56:41,246 | itj_planning | INFO | ##########
2022-02-02 00:56:41,246 | itj_planning | INFO | Beam b6 | nonlinear | Trail #0 | time 0.00
2022-02-02 00:56:53,899 | itj_planning | INFO | FreeMovement: Robot end conf is NOT specified in RoboticFreeMovement(#A47_M1, Free Move to reorient Beam ('b6'), traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 00:58:07,773 | itj_planning | INFO | ---
2022-02-02 00:58:07,774 | itj_planning | INFO | [32m#50 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 00:58:15,846 | itj_planning | INFO | ---
2022-02-02 00:58:15,849 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 01:00:59,276 | itj_planning | INFO | ---
2022-02-02 01:00:59,277 | itj_planning | INFO | [32m#7 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 01:01:07,276 | itj_planning | INFO | ---
2022-02-02 01:01:07,277 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 01:01:07,277 | itj_planning | INFO | A plan has been found for (seq_n=6) beam id b6!
2022-02-02 01:01:07,278 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 01:01:07,278 | itj_planning | INFO | --------------------
2022-02-02 01:01:07,278 | itj_planning | INFO | ##########
2022-02-02 01:01:07,278 | itj_planning | INFO | Beam b7 | nonlinear | Trail #0 | time 0.00
2022-02-02 01:01:21,661 | itj_planning | INFO | FreeMovement: Robot end conf is NOT specified in RoboticFreeMovement(#A59_M1, Free Move to reorient Beam ('b7'), traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 01:03:15,819 | itj_planning | INFO | ---
2022-02-02 01:03:15,819 | itj_planning | INFO | [32m#90 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 01:03:24,969 | itj_planning | INFO | ---
2022-02-02 01:03:24,969 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 01:09:15,946 | itj_planning | INFO | ---
2022-02-02 01:09:15,946 | itj_planning | INFO | [32m#11 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\smoothed_movements[0m
2022-02-02 01:09:24,488 | itj_planning | INFO | ---
2022-02-02 01:09:24,488 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 01:09:24,488 | itj_planning | INFO | A plan has been found for (seq_n=7) beam id b7!
2022-02-02 01:09:24,488 | itj_planning | INFO | [32mReturn success: True[0m
2022-02-02 01:09:24,488 | itj_planning | INFO | --------------------
2022-02-02 01:09:24,488 | itj_planning | INFO | ##########
2022-02-02 01:09:24,488 | itj_planning | INFO | Beam b8 | nonlinear | Trail #0 | time 0.00
2022-02-02 01:09:38,723 | itj_planning | INFO | FreeMovement: Robot end conf is NOT specified in RoboticFreeMovement(#A79_M1, Free Move to reorient Beam ('b8'), traj 0), we will sample an IK conf based on the given t0cp frame.
2022-02-02 01:10:35,347 | itj_planning | INFO | ---
2022-02-02 01:10:35,347 | itj_planning | INFO | [32m#70 movements written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\movements[0m
2022-02-02 01:10:43,948 | itj_planning | INFO | ---
2022-02-02 01:10:43,948 | itj_planning | INFO | [32mProcess written to c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\210419_HyparHut\results\Shelter_process.json[0m
2022-02-02 01:14:42,510 | itj_planning | INFO | ---
