2022-04-14 13:33:11,772 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='210916_SymbolicPlanning', movement_id=None, plan_summary=True, problem='CantiBoxLeft_10pcs_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=False, verify_plan=False, viewer=False)
2022-04-14 13:33:12,212 | itj_planning | INFO | Loading external movements from c:\users\harry\dropbox (mit)\code_ws_dropbox\itj_ws\integral_timber_joints\external\itj_design_study\210916_SymbolicPlanning\results
2022-04-14 13:33:12,224 | itj_planning | WARNING | A75_M0: no saved movement found | RoboticFreeMovement(#A75_M0, Free Move to bring Beam ('b19') to assemble_approach position on structure., has_traj False)
2022-04-14 13:33:12,226 | itj_planning | INFO | Unfound beams (seq_n, beam_id): [(14, 'b19')]
2022-04-14 15:09:53,127 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='210916_SymbolicPlanning', movement_id=None, plan_summary=True, problem='CantiBoxLeft_10pcs_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=False, verify_plan=False, viewer=False)
2022-04-14 15:09:53,579 | itj_planning | INFO | Loading external movements from c:\users\harry\dropbox (mit)\code_ws_dropbox\itj_ws\integral_timber_joints\external\itj_design_study\210916_SymbolicPlanning\results
2022-04-14 15:09:53,592 | itj_planning | INFO | Unfound beams (seq_n, beam_id): []
2022-04-14 15:10:32,911 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='210916_SymbolicPlanning', movement_id=None, plan_summary=False, problem='CantiBoxLeft_10pcs_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-04-14 15:10:33,365 | itj_planning | INFO | Loading external movements from c:\users\harry\dropbox (mit)\code_ws_dropbox\itj_ws\integral_timber_joints\external\itj_design_study\210916_SymbolicPlanning\results
2022-04-14 15:10:35,357 | itj_planning | INFO | [36mChecking for beam ['b1', 'b0', 'b2', 'b3', 'b20', 'b22', 'b21', 'b4', 'b7', 'b30', 'b29', 'b31', 'b8', 'b18', 'b19'][0m
2022-04-14 15:17:42,686 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #275/294
2022-04-14 15:23:12,664 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #244/246
2022-04-14 15:25:50,108 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #365/369
2022-04-14 15:33:28,010 | compas_fab_pychoreo.utils | WARNING | configuration duplicates: trajectory point #2/3
2022-04-14 15:38:13,658 | itj_planning | WARNING | Movements that requires care and love:
2022-04-14 15:38:13,659 | itj_planning | INFO | (MovementIndex=89) RoboticFreeMovement(#A22_M0, Free Move to reach Pickup Approach Frame of Beam ('b3'), has_traj True): traj_polyline_collision
2022-04-14 15:38:13,659 | itj_planning | INFO | (MovementIndex=170) RoboticFreeMovement(#A42_M0, Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool., has_traj True): traj_polyline_collision
2022-04-14 15:38:13,660 | itj_planning | INFO | (MovementIndex=195) RoboticFreeMovement(#A51_M0, Free Move reach Storage Approach Frame of CL3M ('c4'), to get clamp., has_traj True): traj_polyline_collision
2022-04-14 15:38:13,660 | itj_planning | INFO | (MovementIndex=292) RoboticLinearMovement(#A71_M0, Linear Move to lift up Beam ('b19'), has_traj True): configuration_duplication
