2022-04-14 08:32:21,300 | itj_planning | INFO | planning.run.py started with args: Namespace(buffers_for_free_motions=False, debug=True, design_dir='210916_SymbolicPlanning', diagnosis=False, draw_mp_exploration=False, force_linear_to_free_movement=False, keep_planned_movements=False, low_res=False, movement_id=None, mp_algorithm='birrt', no_smooth=False, problem='CantiBoxLeft_10pcs_process.json', problem_subdir='results', quiet=False, reachable_range=[0.2, 2.4], reinit_tool=False, rrt_iterations=400, seq_n=None, solve_mode='nonlinear', solve_timeout=3600.0, step_sim=False, use_stored_seed=False, viewer=False, watch=False, write=True)
2022-04-14 08:32:22,157 | itj_planning | DEBUG | [34mProcess json parsed from c:\users\harry\dropbox (mit)\code_ws_dropbox\itj_ws\integral_timber_joints\external\itj_design_study\210916_SymbolicPlanning\results\CantiBoxLeft_10pcs_process.json[0m
2022-04-14 08:32:22,168 | itj_planning | INFO | [36mSolving for beam ['b1', 'b0', 'b2', 'b3', 'b20', 'b22', 'b21', 'b4', 'b7', 'b30', 'b29', 'b31', 'b8', 'b18', 'b19'][0m
2022-04-14 08:32:23,902 | itj_planning | DEBUG | --------------------
2022-04-14 08:32:25,650 | itj_planning | DEBUG | ##########
2022-04-14 08:32:25,651 | itj_planning | INFO | Beam b1 | nonlinear | Trail #0 | time elapsed 0.02
2022-04-14 08:32:25,653 | itj_planning | DEBUG | ====================
2022-04-14 08:32:25,653 | itj_planning | DEBUG | [1m[47m[34m* compute ['RoboticLinearMovement', 'RoboticClampSyncLinearMovement', 'RobotScrewdriverSyncLinearMovement'] (priority 1, status [<MovementStatus.neither_done: 5>, <MovementStatus.one_sided: 3>])[0m
2022-04-14 08:32:25,695 | itj_planning | DEBUG | [36mRoboticLinearMovement(#A3_M1, Linear Advance to Final Frame of Beam ('b1'), has_traj False)[0m
2022-04-14 08:32:25,994 | itj_planning | DEBUG | 	cartesian trial #0
2022-04-14 08:32:26,242 | itj_planning | DEBUG | [32mPlan found by IterativeIK! After 3 ik, 0 path failure over 4 samples.[0m
2022-04-14 08:32:26,255 | itj_planning | DEBUG | ====================
2022-04-14 08:32:26,256 | itj_planning | DEBUG | [1m[47m[34m* compute ['RoboticLinearMovement'] (priority 0, status [<MovementStatus.one_sided: 3>])[0m
2022-04-14 08:32:26,261 | itj_planning | DEBUG | [36mRoboticLinearMovement(#A3_M4, Linear retract after placing Beam ('b1'), has_traj False)[0m
2022-04-14 08:32:26,282 | itj_planning | DEBUG | [34mOne-sided Cartesian planning : start conf set, forward mode[0m
2022-04-14 08:32:26,284 | itj_planning | DEBUG | 	cartesian trial #0
2022-04-14 08:32:26,582 | itj_planning | DEBUG | [32mPlan found by IterativeIK! After 0 path failure (by IterativeIK) over 1 samples.[0m
2022-04-14 08:32:26,585 | itj_planning | DEBUG | ====================
2022-04-14 08:32:26,586 | itj_planning | DEBUG | [1m[47m[34m* compute ['RoboticLinearMovement'] (priority 0, status [<MovementStatus.neither_done: 5>, <MovementStatus.one_sided: 3>])[0m
2022-04-14 08:32:26,591 | itj_planning | DEBUG | [36mRoboticLinearMovement(#A0_M1, Linear Advance to Storage Frame of PG1500 ('g3'), to get tool., has_traj False)[0m
2022-04-14 08:32:26,696 | itj_planning | DEBUG | 	cartesian trial #0
2022-04-14 08:32:26,871 | itj_planning | DEBUG | [32mPlan found by IterativeIK! After 1 ik, 0 path failure over 2 samples.[0m
2022-04-14 08:32:26,874 | itj_planning | DEBUG | [36mRoboticLinearMovement(#A0_M3, Linear Retract after getting PG1500 ('g3') from storage., has_traj False)[0m
2022-04-14 08:32:26,909 | itj_planning | DEBUG | [34mOne-sided Cartesian planning : start conf set, forward mode[0m
2022-04-14 08:32:26,911 | itj_planning | DEBUG | 	cartesian trial #0
