2021-11-24 12:44:01,481 | customize_polyline_lap | INFO |  -- 
2021-11-24 12:44:01,509 | customize_polyline_lap | INFO |  -- 
2021-11-24 12:44:01,509 | customize_polyline_lap | INFO | customize_polyline_lap started with folder: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\
2021-11-24 12:44:01,542 | customize_polyline_lap | DEBUG | Structural model_frame: Frame(Point(24468.570, 6204.681, 319.218), Vector(0.985, 0.174, 0.000), Vector(-0.174, 0.985, 0.000))
2021-11-24 12:44:01,543 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\3.txt
2021-11-24 12:44:01,550 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.05],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.05],[1.,0.]]]]
2021-11-24 12:44:01,564 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b9'), 2.06585470264e-10
2021-11-24 12:44:01,565 | customize_polyline_lap | DEBUG | [0.0, -0.99999999999997624, 0.0, 0.99999999999997624]
2021-11-24 12:44:01,567 | customize_polyline_lap | DEBUG | [-1.0, 0.0, 1.0, 0.0]
2021-11-24 12:44:01,567 | customize_polyline_lap | INFO | v1_on_side=4 v2_on_side=3
2021-11-24 12:44:01,574 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:44:01,580 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:44:01,581 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:44:01,583 | customize_polyline_lap | INFO |  - flip 2-4
2021-11-24 12:44:03,647 | customize_polyline_lap | DEBUG | Structural model_frame: Frame(Point(24468.570, 6204.681, 319.218), Vector(0.985, 0.174, 0.000), Vector(-0.174, 0.985, 0.000))
2021-11-24 12:44:03,654 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b10'), 2.05692637572e-10
2021-11-24 12:44:03,673 | customize_polyline_lap | INFO | Joint Found: ('b10', 'b11'), 1.49890135158e-10
2021-11-24 12:44:03,692 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b10'), 1.14267431796e-10
2021-11-24 12:44:03,708 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b9'), 2.06585470264e-10
2021-11-24 12:44:03,734 | customize_polyline_lap | INFO | Joint Found: ('b9', 'b11'), 1.54787875632e-10
2021-11-24 12:44:03,751 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b9'), 1.12811260605e-10
2021-11-24 12:44:03,776 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b4'), 2.05674665977e-10
2021-11-24 12:44:03,801 | customize_polyline_lap | INFO | Joint Found: ('b4', 'b11'), 1.81044424027e-10
2021-11-24 12:44:03,823 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b4'), 1.15133057872e-10
2021-11-24 12:44:03,846 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b16'), 2.77312376876e-10
2021-11-24 12:44:03,861 | customize_polyline_lap | INFO | Joint Found: ('b16', 'b17'), 2.09829810226e-10
