2021-11-24 12:56:32,326 | customize_polyline_lap | INFO |  -- 
2021-11-24 12:56:32,352 | customize_polyline_lap | INFO |  -- 
2021-11-24 12:56:32,352 | customize_polyline_lap | INFO | customize_polyline_lap started with folder: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\
2021-11-24 12:56:32,367 | customize_polyline_lap | DEBUG | Structural model_frame: Frame(Point(21161.239, 8651.113, -1850.782), Vector(-1.000, -0.000, 0.000), Vector(0.000, -1.000, 0.000))
2021-11-24 12:56:32,367 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\0.txt
2021-11-24 12:56:32,383 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.085,0.],[0.1,0.1],[0.5,0.18],[0.95,0.05],[0.962,0.],[1.,0.]],[[0.,0.],[0.,0.038],[0.05,0.05],[0.5,0.16],[0.9,0.1],[1.,0.085],[1.,0.]],[[0.,0.],[0.085,0.],[0.1,0.1],[0.5,0.18],[0.95,0.05],[0.962,0.],[1.,0.]],[[0.,0.],[0.,0.038],[0.05,0.05],[0.5,0.16],[0.9,0.1],[1.,0.085],[1.,0.]]]]
2021-11-24 12:56:32,383 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,383 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\1.txt
2021-11-24 12:56:32,399 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.12],[0.95,0.05],[0.954,0.],[1.,0.]],[[0.,0.],[0.,0.046],[0.05,0.05],[0.5,0.09],[1.,0.]],[[0.,0.],[0.5,0.12],[0.95,0.05],[0.954,0.],[1.,0.]],[[0.,0.],[0.,0.046],[0.05,0.05],[0.5,0.09],[1.,0.]]]]
2021-11-24 12:56:32,400 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,400 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\2.txt
