2022-04-28 14:06:03,169 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxLeft', movement_id=None, plan_summary=False, problem='CantiBoxLeft_process.json', problem_subdir='results', reinit_tool=True, seq_n=None, skip_state_collision_check=False, traj_collision=False, verify_plan=False, viewer=False)
2022-04-28 14:06:03,169 | itj_planning | WARNING | No process file found, using the original one.
2022-04-28 14:06:04,191 | itj_planning | ERROR | set_state: Robot FK tool pose and current frame diverge: 0.002627454951787418 (m)
2022-04-28 14:06:04,317 | itj_planning | INFO | [36mChecking for beam ['b1', 'b0', 'b2', 'b23', 'b25', 'b24', 'b3', 'b20', 'b22', 'b21', 'b4', 'b9', 'b5', 'b26', 'b27', 'b28', 'b6', 'b7', 'b30', 'b29', 'b31', 'b12', 'b13', 'b8', 'b10', 'b11', 'b14', 'b15', 'b16', 'b17', 'b18', 'b19'][0m
2022-04-28 14:06:04,332 | compas_fab_pychoreo.utils | WARNING | is_poses_close: frame coordinate origin distance: 0.002627 m | tol: 0.001100
2022-04-28 14:06:04,332 | itj_planning | ERROR | set_state: Robot FK tool pose and current frame diverge: 0.002627454951787418 (m)
2022-04-28 14:06:04,332 | compas_fab_pychoreo.utils | WARNING | is_poses_close: frame coordinate origin distance: 0.002627 m | tol: 0.001100
2022-04-28 14:06:04,332 | itj_planning | ERROR | set_state: Robot FK tool pose and current frame diverge: 0.002627454951787418 (m)
2022-04-28 14:06:04,459 | compas_fab_pychoreo.utils | WARNING | is_poses_close: frame coordinate origin distance: 0.002627 m | tol: 0.001100
2022-04-28 14:06:04,459 | itj_planning | WARNING | A1_M0 | Start State Robot FK tool pose and current frame diverge: 0.00263 (m)
2022-04-28 14:09:37,087 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxLeft', movement_id=None, plan_summary=False, problem='CantiBoxLeft_process.json', problem_subdir='results', reinit_tool=True, seq_n=None, skip_state_collision_check=False, traj_collision=False, verify_plan=False, viewer=False)
2022-04-28 14:09:37,087 | itj_planning | WARNING | No process file found, using the original one.
2022-04-28 14:09:38,594 | itj_planning | INFO | Tool TC4_Camera (tool_changer) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\TC4_Camera\urdf\TC4_Camera.urdf
2022-04-28 14:09:38,673 | itj_planning | INFO | Tool CL3 (c1) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c1\urdf\c1.urdf
2022-04-28 14:09:38,743 | itj_planning | INFO | Tool CL3 (c2) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c2\urdf\c2.urdf
2022-04-28 14:09:38,821 | itj_planning | INFO | Tool CL3M (c3) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c3\urdf\c3.urdf
2022-04-28 14:09:38,899 | itj_planning | INFO | Tool CL3M (c4) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\c4\urdf\c4.urdf
2022-04-28 14:09:38,961 | itj_planning | INFO | Tool SL1 (s1) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s1\urdf\s1.urdf
2022-04-28 14:09:39,027 | itj_planning | INFO | Tool SL1 (s2) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s2\urdf\s2.urdf
2022-04-28 14:09:39,089 | itj_planning | INFO | Tool SL1 (s3) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s3\urdf\s3.urdf
2022-04-28 14:09:39,152 | itj_planning | INFO | Tool SL1_G200 (s4) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\s4\urdf\s4.urdf
2022-04-28 14:09:39,218 | itj_planning | INFO | Tool PG500 (g1) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\g1\urdf\g1.urdf
2022-04-28 14:09:39,305 | itj_planning | INFO | Tool PG1000 (g2) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\g2\urdf\g2.urdf
2022-04-28 14:09:39,393 | itj_planning | INFO | Tool PG1500 (g3) URDF generated to c:\users\leungp\documents\github\integral_timber_joints\src\integral_timber_joints\planning\data\g3\urdf\g3.urdf
