2022-06-05 23:01:28,105 | itj_planning | INFO | planning.statistics.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxLeft', movement_id=None, no_fk=True, problem='CantiBoxLeft_process.json', problem_subdir='results')
2022-06-05 23:01:28,105 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxLeft\CantiBoxLeft_process.json
2022-06-05 23:01:28,749 | itj_planning | INFO | --------------------------------------------------
2022-06-05 23:01:28,750 | itj_planning | INFO | Process contains 1172 Movements, 606 of which are RoboticMovements
2022-06-05 23:01:28,750 | itj_planning | INFO |   > among them are 444 RoboticLinearMovement and 162 RoboticFreeMovement
2022-06-05 23:01:30,511 | itj_planning | INFO |   > 444 of 444 RoboticLinearMovement contains trajectory.
2022-06-05 23:01:30,512 | itj_planning | INFO |   > 162 of 162 RoboticFreeMovement contains trajectory.
2022-06-05 23:01:30,512 | itj_planning | INFO | --------------------------------------------------
2022-06-05 23:01:30,512 | itj_planning | INFO | #   0    A0_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,512 | itj_planning | INFO |                    34  TrajPts.
2022-06-05 23:01:30,513 | itj_planning | INFO | #   1    A0_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,513 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,513 | itj_planning | INFO | #   3    A0_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-05 23:01:30,513 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,513 | itj_planning | INFO | #   5    A2_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b1')
2022-06-05 23:01:30,513 | itj_planning | INFO |                    119 TrajPts.
2022-06-05 23:01:30,514 | itj_planning | INFO | #   7    A2_M2  L  Linear Advance to Storage Frame of Beam ('b1')
2022-06-05 23:01:30,514 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,514 | itj_planning | INFO | #  10    A2_M5  L  Linear Retract after picking up Beam ('b1')
2022-06-05 23:01:30,514 | itj_planning | INFO |                    19  TrajPts.
2022-06-05 23:01:30,514 | itj_planning | INFO | #  11    A3_M0  F  Free Move to bring Beam ('b1') to final location
2022-06-05 23:01:30,514 | itj_planning | INFO |                    65  TrajPts.
2022-06-05 23:01:30,514 | itj_planning | INFO | #  12    A3_M1  L  Linear Advance to Final Frame of Beam ('b1')
2022-06-05 23:01:30,515 | itj_planning | INFO |                    8   TrajPts.
2022-06-05 23:01:30,515 | itj_planning | INFO | #  15    A3_M4  L  Linear retract after placing Beam ('b1')
2022-06-05 23:01:30,515 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,515 | itj_planning | INFO | #  18    A4_M2  L  Linear retract of Gripper from Beam ('b1')
2022-06-05 23:01:30,515 | itj_planning | INFO |                    1   TrajPts.
2022-06-05 23:01:30,515 | itj_planning | INFO | #  20    A6_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b0')
2022-06-05 23:01:30,515 | itj_planning | INFO |                    55  TrajPts.
2022-06-05 23:01:30,516 | itj_planning | INFO | #  22    A6_M2  L  Linear Advance to Storage Frame of Beam ('b0')
2022-06-05 23:01:30,516 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,516 | itj_planning | INFO | #  25    A6_M5  L  Linear Retract after picking up Beam ('b0')
2022-06-05 23:01:30,516 | itj_planning | INFO |                    19  TrajPts.
2022-06-05 23:01:30,516 | itj_planning | INFO | #  26    A7_M0  F  Free Move to bring Beam ('b0') to final location
2022-06-05 23:01:30,516 | itj_planning | INFO |                    112 TrajPts.
2022-06-05 23:01:30,516 | itj_planning | INFO | #  27    A7_M1  L  Linear Advance to Final Frame of Beam ('b0')
2022-06-05 23:01:30,517 | itj_planning | INFO |                    7   TrajPts.
2022-06-05 23:01:30,517 | itj_planning | INFO | #  30    A7_M4  L  Linear retract after placing Beam ('b0')
2022-06-05 23:01:30,517 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,517 | itj_planning | INFO | #  33    A8_M2  L  Linear retract of Gripper from Beam ('b0')
2022-06-05 23:01:30,517 | itj_planning | INFO |                    2   TrajPts.
2022-06-05 23:01:30,517 | itj_planning | INFO | #  36   A10_M1  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,517 | itj_planning | INFO |                    150 TrajPts.
2022-06-05 23:01:30,518 | itj_planning | INFO | #  37   A10_M2  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,518 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,518 | itj_planning | INFO | #  39   A10_M4  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-06-05 23:01:30,518 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,518 | itj_planning | INFO | #  40   A11_M0  F  Free Move for Toolchanger to approach CL3M ('c3'), to get clamp from storage.
2022-06-05 23:01:30,518 | itj_planning | INFO |                    69  TrajPts.
2022-06-05 23:01:30,518 | itj_planning | INFO | #  41   A11_M1  L  Toolchanger Advance to dock with CL3M ('c3').
2022-06-05 23:01:30,518 | itj_planning | INFO |                    6   TrajPts.
2022-06-05 23:01:30,519 | itj_planning | INFO | #  45   A11_M5  L  Linear Retract 1 from Storage Frame of CL3M ('c3').
2022-06-05 23:01:30,519 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,519 | itj_planning | INFO | #  46   A11_M6  L  Linear Retract 2 from Storage Frame of CL3M ('c3'). (Faster)
2022-06-05 23:01:30,519 | itj_planning | INFO |                    23  TrajPts.
2022-06-05 23:01:30,519 | itj_planning | INFO | #  47   A12_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-06-05 23:01:30,519 | itj_planning | INFO |                    90  TrajPts.
2022-06-05 23:01:30,519 | itj_planning | INFO | #  49   A12_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-06-05 23:01:30,519 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,520 | itj_planning | INFO | #  50   A12_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-06-05 23:01:30,520 | itj_planning | INFO |                    3   TrajPts.
2022-06-05 23:01:30,520 | itj_planning | INFO | #  53   A12_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-06-05 23:01:30,520 | itj_planning | INFO |                    7   TrajPts.
2022-06-05 23:01:30,520 | itj_planning | INFO | #  55   A13_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,520 | itj_planning | INFO |                    118 TrajPts.
2022-06-05 23:01:30,520 | itj_planning | INFO | #  56   A13_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,521 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,521 | itj_planning | INFO | #  58   A13_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-05 23:01:30,521 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,521 | itj_planning | INFO | #  59   A14_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b2')
2022-06-05 23:01:30,521 | itj_planning | INFO |                    116 TrajPts.
2022-06-05 23:01:30,521 | itj_planning | INFO | #  61   A14_M2  L  Linear Advance to Storage Frame of Beam ('b2')
2022-06-05 23:01:30,521 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,521 | itj_planning | INFO | #  64   A14_M5  L  Linear Retract after picking up Beam ('b2')
2022-06-05 23:01:30,522 | itj_planning | INFO |                    19  TrajPts.
2022-06-05 23:01:30,522 | itj_planning | INFO | #  65   A15_M0  F  Free Move to bring Beam ('b2') to approach clamps on structure.
2022-06-05 23:01:30,522 | itj_planning | INFO |                    94  TrajPts.
2022-06-05 23:01:30,522 | itj_planning | INFO | #  66   A15_M1  L  Linear Advance to bring Beam ('b2') into clamp jaws
2022-06-05 23:01:30,522 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,522 | itj_planning | INFO | #  68   A15_M3  L  Robot and Clamps (['c3']) syncronously move to clamp Beam ('b2')
2022-06-05 23:01:30,522 | itj_planning | INFO |                    25  TrajPts.
2022-06-05 23:01:30,522 | itj_planning | INFO | #  74   A19_M2  L  Linear retract of Gripper from Beam ('b2')
2022-06-05 23:01:30,523 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,523 | itj_planning | INFO | #  77   A21_M1  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,523 | itj_planning | INFO |                    139 TrajPts.
2022-06-05 23:01:30,523 | itj_planning | INFO | #  78   A21_M2  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,523 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,523 | itj_planning | INFO | #  80   A21_M4  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-06-05 23:01:30,524 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,524 | itj_planning | INFO | #  81   A22_M0  F  Free Move for Toolchanger to approach CL3 ('c1'), to get clamp from storage.
2022-06-05 23:01:30,524 | itj_planning | INFO |                    45  TrajPts.
2022-06-05 23:01:30,524 | itj_planning | INFO | #  82   A22_M1  L  Toolchanger Advance to dock with CL3 ('c1').
2022-06-05 23:01:30,525 | itj_planning | INFO |                    6   TrajPts.
2022-06-05 23:01:30,525 | itj_planning | INFO | #  86   A22_M5  L  Linear Retract 1 from Storage Frame of CL3 ('c1').
2022-06-05 23:01:30,525 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,525 | itj_planning | INFO | #  87   A22_M6  L  Linear Retract 2 from Storage Frame of CL3 ('c1'). (Faster)
2022-06-05 23:01:30,525 | itj_planning | INFO |                    22  TrajPts.
2022-06-05 23:01:30,525 | itj_planning | INFO | #  88   A23_M0  F  Free Move to bring CL3 ('c1') to structure.
2022-06-05 23:01:30,525 | itj_planning | INFO |                    87  TrajPts.
2022-06-05 23:01:30,526 | itj_planning | INFO | #  90   A23_M2  L  Linear Approach 1 of 2 to attach CL3 ('c1') to structure.
2022-06-05 23:01:30,526 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,526 | itj_planning | INFO | #  91   A23_M3  L  Linear Approach 2 of 2 to attach CL3 ('c1') to structure.
2022-06-05 23:01:30,527 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,527 | itj_planning | INFO | #  94   A23_M6  L  Linear Retract after attaching CL3 ('c1') on structure
2022-06-05 23:01:30,527 | itj_planning | INFO |                    8   TrajPts.
2022-06-05 23:01:30,527 | itj_planning | INFO | #  96   A24_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,528 | itj_planning | INFO |                    82  TrajPts.
2022-06-05 23:01:30,528 | itj_planning | INFO | #  97   A24_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,528 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,528 | itj_planning | INFO | #  99   A24_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-05 23:01:30,528 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,528 | itj_planning | INFO | # 100   A25_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b3')
2022-06-05 23:01:30,528 | itj_planning | INFO |                    132 TrajPts.
2022-06-05 23:01:30,529 | itj_planning | INFO | # 102   A25_M2  L  Linear Advance to Storage Frame of Beam ('b3')
2022-06-05 23:01:30,529 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,529 | itj_planning | INFO | # 105   A25_M5  L  Linear Retract after picking up Beam ('b3')
2022-06-05 23:01:30,529 | itj_planning | INFO |                    19  TrajPts.
2022-06-05 23:01:30,529 | itj_planning | INFO | # 106   A26_M0  F  Free Move to bring Beam ('b3') to approach clamps on structure.
2022-06-05 23:01:30,529 | itj_planning | INFO |                    105 TrajPts.
2022-06-05 23:01:30,529 | itj_planning | INFO | # 107   A26_M1  L  Linear Advance to bring Beam ('b3') into clamp jaws
2022-06-05 23:01:30,529 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,529 | itj_planning | INFO | # 109   A26_M3  L  Robot and Clamps (['c1']) syncronously move to clamp Beam ('b3')
2022-06-05 23:01:30,530 | itj_planning | INFO |                    25  TrajPts.
2022-06-05 23:01:30,530 | itj_planning | INFO | # 115   A30_M2  L  Linear retract of Gripper from Beam ('b3')
2022-06-05 23:01:30,530 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,530 | itj_planning | INFO | # 118   A32_M1  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,530 | itj_planning | INFO |                    71  TrajPts.
2022-06-05 23:01:30,530 | itj_planning | INFO | # 119   A32_M2  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,530 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,530 | itj_planning | INFO | # 121   A32_M4  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-06-05 23:01:30,531 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,531 | itj_planning | INFO | # 122   A33_M0  F  Free Move to reach CL3 ('c1') to detach it from structure.
2022-06-05 23:01:30,531 | itj_planning | INFO |                    60  TrajPts.
2022-06-05 23:01:30,531 | itj_planning | INFO | # 124   A33_M2  L  Linear Advance to dock toolchanger of CL3 ('c1').
2022-06-05 23:01:30,531 | itj_planning | INFO |                    8   TrajPts.
2022-06-05 23:01:30,531 | itj_planning | INFO | # 128   A33_M6  L  Linear Retract 1 of 2 to storage after picking up CL3 ('c1') from structure.
2022-06-05 23:01:30,531 | itj_planning | INFO |                    3   TrajPts.
2022-06-05 23:01:30,531 | itj_planning | INFO | # 129   A33_M7  L  Linear Retract 2 of 2 to storage after picking up CL3 ('c1') from structure.
2022-06-05 23:01:30,532 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,532 | itj_planning | INFO | # 131   A34_M0  F  Free Move to bring CL3 ('c1') to structure.
2022-06-05 23:01:30,532 | itj_planning | INFO |                    144 TrajPts.
2022-06-05 23:01:30,532 | itj_planning | INFO | # 133   A34_M2  L  Linear Approach 1 of 2 to attach CL3 ('c1') to structure.
2022-06-05 23:01:30,532 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,532 | itj_planning | INFO | # 134   A34_M3  L  Linear Approach 2 of 2 to attach CL3 ('c1') to structure.
2022-06-05 23:01:30,532 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,532 | itj_planning | INFO | # 137   A34_M6  L  Linear Retract after attaching CL3 ('c1') on structure
2022-06-05 23:01:30,533 | itj_planning | INFO |                    7   TrajPts.
2022-06-05 23:01:30,533 | itj_planning | INFO | # 139   A35_M0  F  Free Move to reach CL3M ('c3') to detach it from structure.
2022-06-05 23:01:30,533 | itj_planning | INFO |                    205 TrajPts.
2022-06-05 23:01:30,533 | itj_planning | INFO | # 141   A35_M2  L  Linear Advance to dock toolchanger of CL3M ('c3').
2022-06-05 23:01:30,533 | itj_planning | INFO |                    8   TrajPts.
2022-06-05 23:01:30,533 | itj_planning | INFO | # 145   A35_M6  L  Linear Retract 1 of 2 to storage after picking up CL3M ('c3') from structure.
2022-06-05 23:01:30,533 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,533 | itj_planning | INFO | # 146   A35_M7  L  Linear Retract 2 of 2 to storage after picking up CL3M ('c3') from structure.
2022-06-05 23:01:30,534 | itj_planning | INFO |                    13  TrajPts.
