2022-06-09 00:42:33,389 | itj_planning | INFO | planning.statistics.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxMid', movement_id=None, no_fk=False, problem='CantiBoxMid_process', problem_subdir='results')
2022-06-09 00:42:33,405 | itj_planning | INFO | Process file loaded from main problem folder: d:\code_ws\integral_timber_joints\external\itj_design_study\220407_CantiBoxMid\CantiBoxMid_process.json
2022-06-09 00:42:34,045 | itj_planning | INFO | --------------------------------------------------
2022-06-09 00:42:34,045 | itj_planning | INFO | Process contains 1119 Movements, 586 of which are RoboticMovements
2022-06-09 00:42:34,045 | itj_planning | INFO |   > among them are 430 RoboticLinearMovement and 156 RoboticFreeMovement
2022-06-09 00:42:36,373 | itj_planning | INFO |   > 430 of 430 RoboticLinearMovement contains trajectory.
2022-06-09 00:42:36,389 | itj_planning | INFO |   > 152 of 156 RoboticFreeMovement contains trajectory.
2022-06-09 00:42:36,389 | itj_planning | INFO | --------------------------------------------------
2022-06-09 00:42:36,389 | itj_planning | INFO | #   0    A0_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-09 00:42:39,436 | itj_planning | INFO |                    98  TrajPts, 2226.9 mm Flange Distance
2022-06-09 00:42:39,436 | itj_planning | INFO | #   1    A0_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-09 00:42:39,467 | itj_planning | INFO |                    5   TrajPts, 35.0 mm Flange Distance
2022-06-09 00:42:39,467 | itj_planning | INFO | #   3    A0_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-09 00:42:39,561 | itj_planning | INFO |                    27  TrajPts, 250.0 mm Flange Distance
2022-06-09 00:42:39,561 | itj_planning | INFO | #   5    A2_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b0')
2022-06-09 00:42:40,045 | itj_planning | INFO |                    141 TrajPts, 7015.4 mm Flange Distance
2022-06-09 00:42:40,045 | itj_planning | INFO | #   7    A2_M2  L  Linear Advance to Storage Frame of Beam ('b0')
2022-06-09 00:42:40,092 | itj_planning | INFO |                    12  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:40,108 | itj_planning | INFO | #  10    A2_M5  L  Linear Retract after picking up Beam ('b0')
2022-06-09 00:42:40,170 | itj_planning | INFO |                    19  TrajPts, 170.0 mm Flange Distance
2022-06-09 00:42:40,170 | itj_planning | INFO | #  11    A3_M0  F  Free Move to bring Beam ('b0') to final location
2022-06-09 00:42:40,795 | itj_planning | INFO |                    182 TrajPts, 8010.3 mm Flange Distance
2022-06-09 00:42:40,811 | itj_planning | INFO | #  12    A3_M1  L  Linear Advance to Final Frame of Beam ('b0')
2022-06-09 00:42:40,827 | itj_planning | INFO |                    8   TrajPts, 51.0 mm Flange Distance
2022-06-09 00:42:40,827 | itj_planning | INFO | #  15    A3_M4  L  Linear retract after placing Beam ('b0')
2022-06-09 00:42:40,873 | itj_planning | INFO |                    12  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:40,873 | itj_planning | INFO | #  18    A4_M2  L  Linear retract of Gripper from Beam ('b0')
2022-06-09 00:42:40,889 | itj_planning | INFO |                    1   TrajPts, 0.0 mm Flange Distance
2022-06-09 00:42:40,889 | itj_planning | INFO | #  20    A6_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b1')
2022-06-09 00:42:41,373 | itj_planning | INFO |                    142 TrajPts, 5653.0 mm Flange Distance
2022-06-09 00:42:41,373 | itj_planning | INFO | #  22    A6_M2  L  Linear Advance to Storage Frame of Beam ('b1')
2022-06-09 00:42:41,420 | itj_planning | INFO |                    12  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:41,420 | itj_planning | INFO | #  25    A6_M5  L  Linear Retract after picking up Beam ('b1')
2022-06-09 00:42:41,498 | itj_planning | INFO |                    19  TrajPts, 170.0 mm Flange Distance
2022-06-09 00:42:41,498 | itj_planning | INFO | #  26    A7_M0  F  Free Move to bring Beam ('b1') to final location
2022-06-09 00:42:42,043 | itj_planning | INFO |                    156 TrajPts, 8288.6 mm Flange Distance
2022-06-09 00:42:42,043 | itj_planning | INFO | #  27    A7_M1  L  Linear Advance to Final Frame of Beam ('b1')
2022-06-09 00:42:42,077 | itj_planning | INFO |                    7   TrajPts, 51.0 mm Flange Distance
2022-06-09 00:42:42,077 | itj_planning | INFO | #  30    A7_M4  L  Linear retract after placing Beam ('b1')
2022-06-09 00:42:42,124 | itj_planning | INFO |                    12  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:42,124 | itj_planning | INFO | #  33    A8_M2  L  Linear retract of Gripper from Beam ('b1')
2022-06-09 00:42:42,124 | itj_planning | INFO |                    1   TrajPts, 0.0 mm Flange Distance
2022-06-09 00:42:42,124 | itj_planning | INFO | #  36   A10_M1  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-06-09 00:42:42,561 | itj_planning | INFO |                    124 TrajPts, 5336.4 mm Flange Distance
2022-06-09 00:42:42,561 | itj_planning | INFO | #  37   A10_M2  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-06-09 00:42:42,655 | itj_planning | INFO |                    27  TrajPts, 250.0 mm Flange Distance
2022-06-09 00:42:42,655 | itj_planning | INFO | #  39   A10_M4  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-06-09 00:42:42,670 | itj_planning | INFO |                    5   TrajPts, 35.0 mm Flange Distance
2022-06-09 00:42:42,670 | itj_planning | INFO | #  40   A11_M0  F  Free Move for Toolchanger to approach CL3 ('c2'), to get clamp from storage.
2022-06-09 00:42:42,998 | itj_planning | INFO |                    95  TrajPts, 1931.3 mm Flange Distance
2022-06-09 00:42:42,998 | itj_planning | INFO | #  41   A11_M1  L  Toolchanger Advance to dock with CL3 ('c2').
2022-06-09 00:42:43,030 | itj_planning | INFO |                    6   TrajPts, 50.0 mm Flange Distance
2022-06-09 00:42:43,030 | itj_planning | INFO | #  45   A11_M5  L  Linear Retract 1 from Storage Frame of CL3 ('c2').
2022-06-09 00:42:43,045 | itj_planning | INFO |                    4   TrajPts, 30.0 mm Flange Distance
2022-06-09 00:42:43,045 | itj_planning | INFO | #  46   A11_M6  L  Linear Retract 2 from Storage Frame of CL3 ('c2'). (Faster)
2022-06-09 00:42:43,139 | itj_planning | INFO |                    23  TrajPts, 200.0 mm Flange Distance
2022-06-09 00:42:43,139 | itj_planning | INFO | #  47   A12_M0  F  Free Move to bring CL3 ('c2') to structure.
2022-06-09 00:42:43,717 | itj_planning | INFO |                    170 TrajPts, 4259.5 mm Flange Distance
2022-06-09 00:42:43,717 | itj_planning | INFO | #  49   A12_M2  L  Linear Approach 1 of 2 to attach CL3 ('c2') to structure.
2022-06-09 00:42:43,764 | itj_planning | INFO |                    13  TrajPts, 101.0 mm Flange Distance
2022-06-09 00:42:43,764 | itj_planning | INFO | #  50   A12_M3  L  Linear Approach 2 of 2 to attach CL3 ('c2') to structure.
2022-06-09 00:42:43,780 | itj_planning | INFO |                    3   TrajPts, 20.0 mm Flange Distance
2022-06-09 00:42:43,780 | itj_planning | INFO | #  53   A12_M6  L  Linear Retract after attaching CL3 ('c2') on structure
2022-06-09 00:42:43,811 | itj_planning | INFO |                    8   TrajPts, 50.0 mm Flange Distance
2022-06-09 00:42:43,811 | itj_planning | INFO | #  55   A13_M0  F  Free Move reach Storage Approach Frame of PG1000 ('g2'), to get tool.
2022-06-09 00:42:44,405 | itj_planning | INFO |                    171 TrajPts, 5078.8 mm Flange Distance
2022-06-09 00:42:44,405 | itj_planning | INFO | #  56   A13_M1  L  Linear Advance to Storage Frame of PG1000 ('g2'), to get tool.
2022-06-09 00:42:44,420 | itj_planning | INFO |                    5   TrajPts, 35.0 mm Flange Distance
2022-06-09 00:42:44,420 | itj_planning | INFO | #  58   A13_M3  L  Linear Retract after getting PG1000 ('g2') from storage.
2022-06-09 00:42:44,530 | itj_planning | INFO |                    26  TrajPts, 250.0 mm Flange Distance
2022-06-09 00:42:44,530 | itj_planning | INFO | #  59   A14_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b2')
2022-06-09 00:42:44,905 | itj_planning | INFO |                    109 TrajPts, 5343.8 mm Flange Distance
2022-06-09 00:42:44,905 | itj_planning | INFO | #  61   A14_M2  L  Linear Advance to Storage Frame of Beam ('b2')
2022-06-09 00:42:44,952 | itj_planning | INFO |                    12  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:44,952 | itj_planning | INFO | #  64   A14_M5  L  Linear Retract after picking up Beam ('b2')
2022-06-09 00:42:45,014 | itj_planning | INFO |                    19  TrajPts, 170.0 mm Flange Distance
2022-06-09 00:42:45,014 | itj_planning | INFO | #  65   A15_M0  F  Free Move to bring Beam ('b2') to approach clamps on structure.
2022-06-09 00:42:45,483 | itj_planning | INFO |                    134 TrajPts, 6234.1 mm Flange Distance
2022-06-09 00:42:45,483 | itj_planning | INFO | #  66   A15_M1  L  Linear Advance to bring Beam ('b2') into clamp jaws
2022-06-09 00:42:45,530 | itj_planning | INFO |                    12  TrajPts, 100.9 mm Flange Distance
2022-06-09 00:42:45,530 | itj_planning | INFO | #  68   A15_M3  L  Robot and Clamps (['c2']) syncronously move to clamp Beam ('b2')
2022-06-09 00:42:45,624 | itj_planning | INFO |                    24  TrajPts, 110.9 mm Flange Distance
2022-06-09 00:42:45,624 | itj_planning | INFO | #  71   A16_M2  L  Linear retract of Gripper from Beam ('b2')
2022-06-09 00:42:45,670 | itj_planning | INFO |                    13  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:45,670 | itj_planning | INFO | #  74   A18_M1  F  Free Move to reach Storage Approach Frame of PG1000 ('g2'), to place tool in storage.
2022-06-09 00:42:46,202 | itj_planning | INFO |                    155 TrajPts, 4612.0 mm Flange Distance
2022-06-09 00:42:46,202 | itj_planning | INFO | #  75   A18_M2  L  Linear Advance to Storage Frame of PG1000 ('g2'), to place tool in storage.
2022-06-09 00:42:46,295 | itj_planning | INFO |                    26  TrajPts, 250.0 mm Flange Distance
2022-06-09 00:42:46,295 | itj_planning | INFO | #  77   A18_M4  L  Linear Retract from storage after placing PG1000 ('g2') in storage
2022-06-09 00:42:46,327 | itj_planning | INFO |                    5   TrajPts, 35.0 mm Flange Distance
2022-06-09 00:42:46,327 | itj_planning | INFO | #  78   A19_M0  F  Free Move for Toolchanger to approach CL3M ('c3'), to get clamp from storage.
2022-06-09 00:42:46,577 | itj_planning | INFO |                    73  TrajPts, 3194.7 mm Flange Distance
2022-06-09 00:42:46,577 | itj_planning | INFO | #  79   A19_M1  L  Toolchanger Advance to dock with CL3M ('c3').
2022-06-09 00:42:46,608 | itj_planning | INFO |                    6   TrajPts, 50.0 mm Flange Distance
2022-06-09 00:42:46,608 | itj_planning | INFO | #  83   A19_M5  L  Linear Retract 1 from Storage Frame of CL3M ('c3').
2022-06-09 00:42:46,624 | itj_planning | INFO |                    4   TrajPts, 30.0 mm Flange Distance
2022-06-09 00:42:46,624 | itj_planning | INFO | #  84   A19_M6  L  Linear Retract 2 from Storage Frame of CL3M ('c3'). (Faster)
2022-06-09 00:42:46,702 | itj_planning | INFO |                    23  TrajPts, 200.0 mm Flange Distance
2022-06-09 00:42:46,702 | itj_planning | INFO | #  85   A20_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-06-09 00:42:47,078 | itj_planning | INFO |                    107 TrajPts, 3089.7 mm Flange Distance
2022-06-09 00:42:47,093 | itj_planning | INFO | #  87   A20_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-06-09 00:42:47,139 | itj_planning | INFO |                    13  TrajPts, 101.0 mm Flange Distance
2022-06-09 00:42:47,139 | itj_planning | INFO | #  88   A20_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-06-09 00:42:47,155 | itj_planning | INFO |                    4   TrajPts, 20.0 mm Flange Distance
2022-06-09 00:42:47,155 | itj_planning | INFO | #  91   A20_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-06-09 00:42:47,186 | itj_planning | INFO |                    8   TrajPts, 50.0 mm Flange Distance
2022-06-09 00:42:47,186 | itj_planning | INFO | #  93   A21_M0  F  Free Move reach Storage Approach Frame of PG1000 ('g2'), to get tool.
2022-06-09 00:42:47,655 | itj_planning | INFO |                    139 TrajPts, 6763.3 mm Flange Distance
2022-06-09 00:42:47,655 | itj_planning | INFO | #  94   A21_M1  L  Linear Advance to Storage Frame of PG1000 ('g2'), to get tool.
2022-06-09 00:42:47,686 | itj_planning | INFO |                    5   TrajPts, 35.0 mm Flange Distance
2022-06-09 00:42:47,686 | itj_planning | INFO | #  96   A21_M3  L  Linear Retract after getting PG1000 ('g2') from storage.
2022-06-09 00:42:47,780 | itj_planning | INFO |                    26  TrajPts, 250.0 mm Flange Distance
2022-06-09 00:42:47,780 | itj_planning | INFO | #  97   A22_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b3')
2022-06-09 00:42:48,155 | itj_planning | INFO |                    109 TrajPts, 5199.4 mm Flange Distance
2022-06-09 00:42:48,155 | itj_planning | INFO | #  99   A22_M2  L  Linear Advance to Storage Frame of Beam ('b3')
2022-06-09 00:42:48,202 | itj_planning | INFO |                    12  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:48,202 | itj_planning | INFO | # 102   A22_M5  L  Linear Retract after picking up Beam ('b3')
2022-06-09 00:42:48,280 | itj_planning | INFO |                    19  TrajPts, 170.0 mm Flange Distance
2022-06-09 00:42:48,280 | itj_planning | INFO | # 103   A23_M0  F  Free Move to bring Beam ('b3') to approach clamps on structure.
2022-06-09 00:42:48,608 | itj_planning | INFO |                    97  TrajPts, 5399.8 mm Flange Distance
2022-06-09 00:42:48,608 | itj_planning | INFO | # 104   A23_M1  L  Linear Advance to bring Beam ('b3') into clamp jaws
2022-06-09 00:42:48,655 | itj_planning | INFO |                    12  TrajPts, 101.0 mm Flange Distance
2022-06-09 00:42:48,655 | itj_planning | INFO | # 106   A23_M3  L  Robot and Clamps (['c3']) syncronously move to clamp Beam ('b3')
2022-06-09 00:42:48,749 | itj_planning | INFO |                    25  TrajPts, 111.0 mm Flange Distance
2022-06-09 00:42:48,749 | itj_planning | INFO | # 109   A24_M2  L  Linear retract of Gripper from Beam ('b3')
2022-06-09 00:42:48,795 | itj_planning | INFO |                    13  TrajPts, 105.0 mm Flange Distance
2022-06-09 00:42:48,795 | itj_planning | INFO | # 112   A26_M1  F  Free Move to reach Storage Approach Frame of PG1000 ('g2'), to place tool in storage.
2022-06-09 00:42:49,170 | itj_planning | INFO |                    110 TrajPts, 3516.0 mm Flange Distance
2022-06-09 00:42:49,170 | itj_planning | INFO | # 113   A26_M2  L  Linear Advance to Storage Frame of PG1000 ('g2'), to place tool in storage.
2022-06-09 00:42:49,280 | itj_planning | INFO |                    26  TrajPts, 250.0 mm Flange Distance
2022-06-09 00:42:49,280 | itj_planning | INFO | # 115   A26_M4  L  Linear Retract from storage after placing PG1000 ('g2') in storage
2022-06-09 00:42:49,295 | itj_planning | INFO |                    5   TrajPts, 35.0 mm Flange Distance
2022-06-09 00:42:49,295 | itj_planning | INFO | # 116   A27_M0  F  Free Move for Toolchanger to approach CL3M ('c4'), to get clamp from storage.
2022-06-09 00:42:49,545 | itj_planning | INFO |                    71  TrajPts, 3141.8 mm Flange Distance
2022-06-09 00:42:49,545 | itj_planning | INFO | # 117   A27_M1  L  Toolchanger Advance to dock with CL3M ('c4').
2022-06-09 00:42:49,577 | itj_planning | INFO |                    6   TrajPts, 50.0 mm Flange Distance
2022-06-09 00:42:49,577 | itj_planning | INFO | # 121   A27_M5  L  Linear Retract 1 from Storage Frame of CL3M ('c4').
2022-06-09 00:42:49,592 | itj_planning | INFO |                    4   TrajPts, 30.0 mm Flange Distance
2022-06-09 00:42:49,592 | itj_planning | INFO | # 122   A27_M6  L  Linear Retract 2 from Storage Frame of CL3M ('c4'). (Faster)
2022-06-09 00:42:49,670 | itj_planning | INFO |                    22  TrajPts, 200.0 mm Flange Distance
2022-06-09 00:42:49,670 | itj_planning | INFO | # 123   A28_M0  F  Free Move to bring CL3M ('c4') to structure.
2022-06-09 00:42:50,264 | itj_planning | INFO |                    173 TrajPts, 5954.9 mm Flange Distance
