2022-05-25 22:32:41,852 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=250.0, movement_id=None, plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=False, verify_plan=False, viewer=False)
2022-05-25 22:32:41,852 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-25 22:32:44,480 | itj_planning | INFO | [36mChecking for beam ['b0', 'b1', 'b2', 'b24', 'b25', 'b23', 'b3', 'b21', 'b22', 'b20', 'b4', 'b5', 'b6', 'b29', 'b30', 'b32', 'b31', 'b8', 'b26', 'b28', 'b27', 'b12', 'b13', 'b7', 'b9', 'b10', 'b11', 'b14', 'b15', 'b16', 'b17', 'b18', 'b19'][0m
2022-05-25 22:34:10,518 | itj_planning | INFO | Congrats, check state done!
2022-05-26 10:44:35,475 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=250.0, movement_id='A15_M0', plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-05-26 10:44:35,475 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-26 10:44:36,100 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\results
2022-05-26 10:44:38,712 | itj_planning | INFO | [36mChecking for movement #(63) A15_M0[0m
2022-05-26 10:44:49,741 | itj_planning | INFO | Congrats, check state done!
2022-05-26 10:45:00,187 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=100.0, movement_id='A15_M0', plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-05-26 10:45:00,187 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-26 10:45:00,796 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\results
2022-05-26 10:45:04,985 | itj_planning | INFO | [36mChecking for movement #(63) A15_M0[0m
2022-05-26 10:45:17,201 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #74/78
2022-05-26 10:45:17,810 | itj_planning | WARNING | Movements that requires care and love:
2022-05-26 10:45:17,810 | itj_planning | INFO | (MovementIndex=63) RoboticFreeMovement(#A15_M0, Free Move to bring Beam ('b2') to approach clamps on structure., has_traj True): traj_polyline_collision
2022-05-26 15:00:54,850 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=100.0, movement_id='A82_M0', plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-05-26 15:00:54,850 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-26 15:00:55,475 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\results
2022-05-26 15:00:59,861 | itj_planning | INFO | [36mChecking for movement #(352) A82_M0[0m
2022-05-26 15:01:23,899 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #154/163
2022-05-26 15:01:25,258 | itj_planning | WARNING | Movements that requires care and love:
2022-05-26 15:01:25,258 | itj_planning | INFO | (MovementIndex=352) RoboticFreeMovement(#A82_M0, Free Move to bring Beam ('b12') to approach clamps on structure., has_traj True): traj_polyline_collision
2022-05-26 15:31:44,127 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=100.0, movement_id='A82_M0', plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-05-26 15:31:44,128 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-26 15:31:44,772 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\results
2022-05-26 15:31:49,160 | itj_planning | INFO | [36mChecking for movement #(352) A82_M0[0m
2022-05-26 15:32:04,852 | itj_planning | INFO | Congrats, check state done!
2022-05-26 16:32:00,711 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=100.0, movement_id='A82_M0', plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-05-26 16:32:00,711 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-26 16:32:01,362 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\results
2022-05-26 16:32:06,254 | itj_planning | INFO | [36mChecking for movement #(352) A82_M0[0m
2022-05-26 19:13:07,732 | itj_planning | INFO | planning.check_states.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', mesh_split_long_edge_max_length=100.0, movement_id=None, plan_summary=False, problem='CantiBoxRight_process.json', problem_subdir='results', reinit_tool=False, seq_n=None, skip_state_collision_check=False, traj_collision=True, verify_plan=True, viewer=False)
2022-05-26 19:13:07,733 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-26 19:13:08,399 | itj_planning | INFO | Loading external movements from c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\results
2022-05-26 19:13:13,415 | itj_planning | INFO | [36mChecking for beam ['b0', 'b1', 'b2', 'b24', 'b25', 'b23', 'b3', 'b21', 'b22', 'b20', 'b4', 'b5', 'b6', 'b29', 'b30', 'b32', 'b31', 'b8', 'b26', 'b28', 'b27', 'b12', 'b13', 'b7', 'b9', 'b10', 'b11', 'b14', 'b15', 'b16', 'b17', 'b18', 'b19'][0m
2022-05-26 19:14:04,307 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #117/119
2022-05-26 19:16:23,325 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #73/79
2022-05-26 19:16:42,386 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #83/107
2022-05-26 19:21:34,029 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #92/95
2022-05-26 19:26:07,500 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #74/76
2022-05-26 19:35:48,987 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #281/282
2022-05-26 19:40:18,990 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #212/214
2022-05-26 19:42:29,154 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #99/107
2022-05-26 19:42:30,328 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #105/107
2022-05-26 19:47:15,711 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #22/51
2022-05-26 19:48:38,922 | itj_planning | WARNING | A148_M0 : No trajectory found.
2022-05-26 19:48:43,014 | itj_planning | WARNING | A149_M0 : No trajectory found.
2022-05-26 19:48:46,722 | itj_planning | WARNING | A150_M0 : No trajectory found.
2022-05-26 19:50:14,998 | itj_planning | WARNING | A155_M0 : No trajectory found.
2022-05-26 19:50:21,924 | itj_planning | WARNING | A158_M0 : No trajectory found.
2022-05-26 19:50:38,158 | itj_planning | WARNING | A163_M0 : No trajectory found.
2022-05-26 19:50:47,570 | itj_planning | WARNING | A165_M0 : No trajectory found.
2022-05-26 19:56:19,752 | itj_planning | WARNING | A182_M0 : No trajectory found.
2022-05-26 20:02:29,033 | compas_fab_pychoreo.utils | WARNING | polyline collision: trajectory point #93/98
2022-05-26 20:08:18,857 | itj_planning | WARNING | A235_M0 : No trajectory found.
2022-05-26 20:08:22,712 | itj_planning | WARNING | A236_M0 : No trajectory found.
2022-05-26 20:08:27,640 | itj_planning | WARNING | Movements that requires care and love:
2022-05-26 20:08:27,640 | itj_planning | INFO | (MovementIndex=11) RoboticFreeMovement(#A3_M0, Free Move to bring Beam ('b0') to final location, has_traj True): traj_polyline_collision
2022-05-26 20:08:27,641 | itj_planning | INFO | (MovementIndex=63) RoboticFreeMovement(#A15_M0, Free Move to bring Beam ('b2') to approach clamps on structure., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,641 | itj_planning | INFO | (MovementIndex=74) RoboticFreeMovement(#A21_M0, Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,641 | itj_planning | INFO | (MovementIndex=161) RoboticFreeMovement(#A39_M0, Free Move to bring Beam ('b4') to approach clamps on structure., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,641 | itj_planning | INFO | (MovementIndex=250) RoboticFreeMovement(#A57_M0, Free Move to bring Beam ('b6') to approach clamps on structure., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,642 | itj_planning | INFO | (MovementIndex=408) RoboticFreeMovement(#A92_M0, Free Move to bring Beam ('b13') to approach clamps on structure., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,642 | itj_planning | INFO | (MovementIndex=487) RoboticFreeMovement(#A107_M0, Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,643 | itj_planning | INFO | (MovementIndex=532) RoboticFreeMovement(#A114_M0, Free Move to bring Beam ('b9') to approach clamps on structure., has_traj True): traj_polyline_collision, traj_polyline_collision
2022-05-26 20:08:27,643 | itj_planning | INFO | (MovementIndex=636) RoboticFreeMovement(#A139_M0, Free Move to reach Storage Approach Frame of SL1 ('s3'), to place tool in storage., has_traj True): traj_polyline_collision
2022-05-26 20:08:27,643 | itj_planning | INFO | (MovementIndex=679) RoboticFreeMovement(#A148_M0, Free Move to bring CL3M ('c3') to structure., has_traj False): no_traj_found
2022-05-26 20:08:27,644 | itj_planning | INFO | (MovementIndex=687) RoboticFreeMovement(#A149_M0, Free Move to reach CL3 ('c1') to detach it from structure., has_traj False): no_traj_found
2022-05-26 20:08:27,644 | itj_planning | INFO | (MovementIndex=696) RoboticFreeMovement(#A150_M0, Free Move to reach Storage Approach Frame of CL3 ('c1'), to place tool in storage., has_traj False): no_traj_found
2022-05-26 20:08:27,644 | itj_planning | INFO | (MovementIndex=729) RoboticFreeMovement(#A155_M0, Free Move to bring Beam ('b14') to approach clamps on structure., has_traj False): no_traj_found
2022-05-26 20:08:27,644 | itj_planning | INFO | (MovementIndex=737) RoboticFreeMovement(#A158_M0, Free Move to reach Pickup Approach Frame of Beam ('b15'), has_traj False): no_traj_found
