2022-05-27 17:14:24,978 | itj_planning | INFO | planning.statistics.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', movement_id=None, no_fk=True, problem='CantiBoxRight_process.json', problem_subdir='results')
2022-05-27 17:14:24,979 | itj_planning | INFO | Process file loaded from main problem folder: c:\users\leungp\documents\github\integral_timber_joints\external\itj_design_study\220407_CantiBoxRight\CantiBoxRight_process.json
2022-05-27 17:14:25,667 | itj_planning | INFO | --------------------------------------------------
2022-05-27 17:14:25,667 | itj_planning | INFO | Process contains 1095 Movements, 584 of which are RoboticMovements
2022-05-27 17:14:25,668 | itj_planning | INFO |   > among them are 428 RoboticLinearMovement and 156 RoboticFreeMovement
2022-05-27 17:14:27,429 | itj_planning | INFO |   > 428 of 428 RoboticLinearMovement contains trajectory.
2022-05-27 17:14:27,429 | itj_planning | INFO |   > 151 of 156 RoboticFreeMovement contains trajectory.
2022-05-27 17:14:27,429 | itj_planning | INFO | --------------------------------------------------
2022-05-27 17:14:27,429 | itj_planning | INFO | #   0    A0_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,429 | itj_planning | INFO |                    46  TrajPts.
2022-05-27 17:14:27,430 | itj_planning | INFO | #   1    A0_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,430 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,430 | itj_planning | INFO | #   3    A0_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-05-27 17:14:27,430 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,430 | itj_planning | INFO | #   5    A2_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b0')
2022-05-27 17:14:27,431 | itj_planning | INFO |                    127 TrajPts.
2022-05-27 17:14:27,431 | itj_planning | INFO | #   7    A2_M2  L  Linear Advance to Storage Frame of Beam ('b0')
2022-05-27 17:14:27,431 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,431 | itj_planning | INFO | #  10    A2_M5  L  Linear Retract after picking up Beam ('b0')
2022-05-27 17:14:27,431 | itj_planning | INFO |                    19  TrajPts.
2022-05-27 17:14:27,432 | itj_planning | INFO | #  11    A3_M0  F  Free Move to bring Beam ('b0') to final location
2022-05-27 17:14:27,432 | itj_planning | INFO |                    111 TrajPts.
2022-05-27 17:14:27,432 | itj_planning | INFO | #  12    A3_M1  L  Linear Advance to Final Frame of Beam ('b0')
2022-05-27 17:14:27,432 | itj_planning | INFO |                    7   TrajPts.
2022-05-27 17:14:27,432 | itj_planning | INFO | #  15    A3_M4  L  Linear retract after placing Beam ('b0')
2022-05-27 17:14:27,432 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,432 | itj_planning | INFO | #  18    A4_M2  L  Linear retract of Gripper from Beam ('b0')
2022-05-27 17:14:27,433 | itj_planning | INFO |                    2   TrajPts.
2022-05-27 17:14:27,433 | itj_planning | INFO | #  20    A6_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b1')
2022-05-27 17:14:27,433 | itj_planning | INFO |                    101 TrajPts.
2022-05-27 17:14:27,433 | itj_planning | INFO | #  22    A6_M2  L  Linear Advance to Storage Frame of Beam ('b1')
2022-05-27 17:14:27,433 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,433 | itj_planning | INFO | #  25    A6_M5  L  Linear Retract after picking up Beam ('b1')
2022-05-27 17:14:27,434 | itj_planning | INFO |                    19  TrajPts.
2022-05-27 17:14:27,434 | itj_planning | INFO | #  26    A7_M0  F  Free Move to bring Beam ('b1') to final location
2022-05-27 17:14:27,434 | itj_planning | INFO |                    83  TrajPts.
2022-05-27 17:14:27,434 | itj_planning | INFO | #  27    A7_M1  L  Linear Advance to Final Frame of Beam ('b1')
2022-05-27 17:14:27,434 | itj_planning | INFO |                    7   TrajPts.
2022-05-27 17:14:27,434 | itj_planning | INFO | #  30    A7_M4  L  Linear retract after placing Beam ('b1')
2022-05-27 17:14:27,434 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,435 | itj_planning | INFO | #  33    A8_M2  L  Linear retract of Gripper from Beam ('b1')
2022-05-27 17:14:27,435 | itj_planning | INFO |                    1   TrajPts.
2022-05-27 17:14:27,435 | itj_planning | INFO | #  35   A10_M0  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,435 | itj_planning | INFO |                    109 TrajPts.
